Metric,"ARIMA(p,d,q)",Seasonal Naïve,Verdict
RMSE,4.6478047656715304,204.0228122696958,ARIMA better
MAE,3.791075867147613,194.55184668087205,ARIMA better
MAPE (%),0.4827157985805994,24.231152560483565,ARIMA better
Theil's U,0.0227808092338598,1.0,ARIMA outperforms
