Model,AIC,BIC,RMSE
"ARIMA(0,2,0)",724.459602460564,727.6413860108561,8.805889123850239
"ARIMA(0,2,1)",726.4478231245103,732.8113902250944,8.805876428408922
"ARIMA(0,2,2)",715.761575093798,725.3069257446742,8.792753177683128
"ARIMA(1,2,0)",726.4530566201549,732.8166237207391,8.805882078102428
"ARIMA(1,2,1)",720.3054151891276,729.8507658400039,8.797363542917433
"ARIMA(1,2,2)",730.4317705823919,743.1589047835603,8.805854245358294
"ARIMA(2,2,0)",719.6515851733077,729.1969358241839,8.796658919893048
"ARIMA(2,2,1)",713.1412606483633,725.8683948495317,8.788249009796562
"ARIMA(2,2,2)",709.5131083447129,725.4220260961733,8.783107142497125
